Namespace(dataset='movielens', dropout=0.5, gpu=0, l2norm=0, lr=0.01, model_path=None, n_bases=-1, n_epochs=200, n_hidden=3, n_layers=2, use_self_loop=False, validation=False)
Graph constructed.
current iteration: 	 1
select index length:	 20
idx_select:	 [3240, 7994, 8333, 976, 6286, 9452, 1631, 8221, 3678, 3248, 9484, 3932, 4872, 5293, 7696, 7614, 98, 4007, 5442, 6082]
train index length:	 20
train index:	 [3240, 7994, 8333, 976, 6286, 9452, 1631, 8221, 3678, 3248, 9484, 3932, 4872, 5293, 7696, 7614, 98, 4007, 5442, 6082]
start training...
Epoch 00000 | Train Acc: 0.3000 | Train Loss: 1.1022 | Valid Acc: 0.3900 | Valid loss: 1.0975 | Time: 0.1251
Epoch 00001 | Train Acc: 0.5500 | Train Loss: 1.0896 | Valid Acc: 0.3148 | Valid loss: 1.0969 | Time: 0.0793
Epoch 00002 | Train Acc: 0.4500 | Train Loss: 1.0787 | Valid Acc: 0.3279 | Valid loss: 1.0954 | Time: 0.0654
Epoch 00003 | Train Acc: 0.4500 | Train Loss: 1.0645 | Valid Acc: 0.3159 | Valid loss: 1.0940 | Time: 0.0638
Epoch 00004 | Train Acc: 0.6500 | Train Loss: 1.0323 | Valid Acc: 0.3246 | Valid loss: 1.0925 | Time: 0.0592
Epoch 00005 | Train Acc: 0.5000 | Train Loss: 1.0494 | Valid Acc: 0.3377 | Valid loss: 1.0961 | Time: 0.0563
Epoch 00006 | Train Acc: 0.6000 | Train Loss: 1.0101 | Valid Acc: 0.3214 | Valid loss: 1.1009 | Time: 0.0526
Epoch 00007 | Train Acc: 0.6000 | Train Loss: 1.0487 | Valid Acc: 0.3595 | Valid loss: 1.0983 | Time: 0.0501
Epoch 00008 | Train Acc: 0.5500 | Train Loss: 1.0246 | Valid Acc: 0.3246 | Valid loss: 1.1039 | Time: 0.0481
Epoch 00009 | Train Acc: 0.6000 | Train Loss: 0.9936 | Valid Acc: 0.3246 | Valid loss: 1.1051 | Time: 0.0464
Epoch 00010 | Train Acc: 0.5500 | Train Loss: 0.9758 | Valid Acc: 0.3115 | Valid loss: 1.1143 | Time: 0.0449
Epoch 00011 | Train Acc: 0.6500 | Train Loss: 0.9378 | Valid Acc: 0.3192 | Valid loss: 1.1109 | Time: 0.0441
Epoch 00012 | Train Acc: 0.5500 | Train Loss: 0.9306 | Valid Acc: 0.3148 | Valid loss: 1.1181 | Time: 0.0431
Epoch 00013 | Train Acc: 0.5000 | Train Loss: 0.9518 | Valid Acc: 0.3170 | Valid loss: 1.1260 | Time: 0.0422
Epoch 00014 | Train Acc: 0.7000 | Train Loss: 0.8956 | Valid Acc: 0.3159 | Valid loss: 1.1272 | Time: 0.0413
Epoch 00015 | Train Acc: 0.6000 | Train Loss: 0.8864 | Valid Acc: 0.3094 | Valid loss: 1.1332 | Time: 0.0406
Epoch 00016 | Train Acc: 0.7000 | Train Loss: 0.8365 | Valid Acc: 0.3214 | Valid loss: 1.1334 | Time: 0.0400
Epoch 00017 | Train Acc: 0.6000 | Train Loss: 0.8365 | Valid Acc: 0.3083 | Valid loss: 1.1461 | Time: 0.0395
Epoch 00018 | Train Acc: 0.8000 | Train Loss: 0.8030 | Valid Acc: 0.3235 | Valid loss: 1.1493 | Time: 0.0390
Epoch 00019 | Train Acc: 0.7500 | Train Loss: 0.8340 | Valid Acc: 0.3181 | Valid loss: 1.1512 | Time: 0.0386
Epoch 00020 | Train Acc: 0.8500 | Train Loss: 0.7460 | Valid Acc: 0.3148 | Valid loss: 1.1809 | Time: 0.0381
Epoch 00021 | Train Acc: 0.7500 | Train Loss: 0.7702 | Valid Acc: 0.3246 | Valid loss: 1.1920 | Time: 0.0377
Epoch 00022 | Train Acc: 0.7500 | Train Loss: 0.7252 | Valid Acc: 0.3355 | Valid loss: 1.1898 | Time: 0.0378
Epoch 00023 | Train Acc: 0.8000 | Train Loss: 0.7362 | Valid Acc: 0.3268 | Valid loss: 1.2025 | Time: 0.0375
Epoch 00024 | Train Acc: 0.7500 | Train Loss: 0.6980 | Valid Acc: 0.3366 | Valid loss: 1.2029 | Time: 0.0376
Epoch 00025 | Train Acc: 0.7500 | Train Loss: 0.6893 | Valid Acc: 0.3333 | Valid loss: 1.2304 | Time: 0.0374
Epoch 00026 | Train Acc: 0.8500 | Train Loss: 0.6710 | Valid Acc: 0.3290 | Valid loss: 1.2410 | Time: 0.0372
Epoch 00027 | Train Acc: 0.7000 | Train Loss: 0.7215 | Valid Acc: 0.3442 | Valid loss: 1.2207 | Time: 0.0368
