Namespace(dataset='cora', dropout=0.5, gpu=0, l2norm=0, lr=0.01, model_path=None, n_bases=-1, n_epochs=200, n_hidden=3, n_layers=2, use_self_loop=False, validation=False)
Graph constructed.
adj_shape:	 (56670, 56670)
current iteration: 	 1
select index length:	 20
idx_select:	 [29087, 31381, 37825, 27310, 43992, 35331, 30029, 33078, 34808, 31651, 33841, 39204, 43238, 27564, 38435, 37443, 25485, 31044, 36721, 30714]
train index length:	 20
train index:	 [29087, 31381, 37825, 27310, 43992, 35331, 30029, 33078, 34808, 31651, 33841, 39204, 43238, 27564, 38435, 37443, 25485, 31044, 36721, 30714]
rgcn index: 	 [4126, 6420, 12864, 2349, 19031, 10370, 5068, 8117, 9847, 6690, 8880, 14243, 18277, 2603, 13474, 12482, 524, 6083, 11760, 5753]
others:	 ['author', 'paper', 'term']
start training...
Epoch 00000 | Train Acc: 0.0500 | Train Loss: 2.3036 | Valid Acc: 0.1099 | Valid loss: 2.3035 | Time: 0.0665
Epoch 00001 | Train Acc: 0.4500 | Train Loss: 2.2911 | Valid Acc: 0.2201 | Valid loss: 2.2969 | Time: 0.0582
Epoch 00002 | Train Acc: 0.5000 | Train Loss: 2.2777 | Valid Acc: 0.2165 | Valid loss: 2.2907 | Time: 0.0520
Epoch 00003 | Train Acc: 0.5500 | Train Loss: 2.2654 | Valid Acc: 0.1695 | Valid loss: 2.2851 | Time: 0.0488
Epoch 00004 | Train Acc: 0.6000 | Train Loss: 2.2426 | Valid Acc: 0.1516 | Valid loss: 2.2789 | Time: 0.0480
Epoch 00005 | Train Acc: 0.6000 | Train Loss: 2.2340 | Valid Acc: 0.1368 | Valid loss: 2.2721 | Time: 0.0472
Epoch 00006 | Train Acc: 0.5000 | Train Loss: 2.2078 | Valid Acc: 0.1324 | Valid loss: 2.2650 | Time: 0.0459
Epoch 00007 | Train Acc: 0.5500 | Train Loss: 2.1883 | Valid Acc: 0.1322 | Valid loss: 2.2570 | Time: 0.0448
Epoch 00008 | Train Acc: 0.5500 | Train Loss: 2.1522 | Valid Acc: 0.1288 | Valid loss: 2.2490 | Time: 0.0439
Epoch 00009 | Train Acc: 0.6500 | Train Loss: 2.1430 | Valid Acc: 0.1327 | Valid loss: 2.2415 | Time: 0.0434
Epoch 00010 | Train Acc: 0.6500 | Train Loss: 2.0945 | Valid Acc: 0.1467 | Valid loss: 2.2329 | Time: 0.0430
Epoch 00011 | Train Acc: 0.6000 | Train Loss: 2.0597 | Valid Acc: 0.1511 | Valid loss: 2.2225 | Time: 0.0427
Epoch 00012 | Train Acc: 0.6000 | Train Loss: 2.0662 | Valid Acc: 0.1511 | Valid loss: 2.2129 | Time: 0.0424
Epoch 00013 | Train Acc: 0.5500 | Train Loss: 2.0013 | Valid Acc: 0.1582 | Valid loss: 2.2018 | Time: 0.0421
Epoch 00014 | Train Acc: 0.5500 | Train Loss: 1.9532 | Valid Acc: 0.1641 | Valid loss: 2.1925 | Time: 0.0419
Epoch 00015 | Train Acc: 0.6000 | Train Loss: 1.9105 | Valid Acc: 0.1662 | Valid loss: 2.1797 | Time: 0.0417
Epoch 00016 | Train Acc: 0.7500 | Train Loss: 1.9014 | Valid Acc: 0.1748 | Valid loss: 2.1688 | Time: 0.0416
Epoch 00017 | Train Acc: 0.7000 | Train Loss: 1.8235 | Valid Acc: 0.1823 | Valid loss: 2.1588 | Time: 0.0415
Epoch 00018 | Train Acc: 0.7500 | Train Loss: 1.7799 | Valid Acc: 0.1835 | Valid loss: 2.1486 | Time: 0.0415
Epoch 00019 | Train Acc: 0.7000 | Train Loss: 1.7222 | Valid Acc: 0.2035 | Valid loss: 2.1323 | Time: 0.0414
Epoch 00020 | Train Acc: 0.6500 | Train Loss: 1.6500 | Valid Acc: 0.1912 | Valid loss: 2.1203 | Time: 0.0414
Epoch 00021 | Train Acc: 0.7000 | Train Loss: 1.6730 | Valid Acc: 0.2183 | Valid loss: 2.1108 | Time: 0.0413
Epoch 00022 | Train Acc: 0.8000 | Train Loss: 1.3960 | Valid Acc: 0.2326 | Valid loss: 2.0901 | Time: 0.0411
Epoch 00023 | Train Acc: 0.8000 | Train Loss: 1.4141 | Valid Acc: 0.2137 | Valid loss: 2.0930 | Time: 0.0410
Epoch 00024 | Train Acc: 0.8000 | Train Loss: 1.3850 | Valid Acc: 0.2221 | Valid loss: 2.0727 | Time: 0.0408
Epoch 00025 | Train Acc: 0.7000 | Train Loss: 1.4760 | Valid Acc: 0.2290 | Valid loss: 2.0604 | Time: 0.0407
Epoch 00026 | Train Acc: 0.7500 | Train Loss: 1.4248 | Valid Acc: 0.2434 | Valid loss: 2.0504 | Time: 0.0406
Epoch 00027 | Train Acc: 0.7500 | Train Loss: 1.3185 | Valid Acc: 0.2477 | Valid loss: 2.0387 | Time: 0.0404
Epoch 00028 | Train Acc: 0.6500 | Train Loss: 1.2567 | Valid Acc: 0.2533 | Valid loss: 2.0390 | Time: 0.0403
Epoch 00029 | Train Acc: 0.8500 | Train Loss: 1.1301 | Valid Acc: 0.2531 | Valid loss: 2.0352 | Time: 0.0402
Epoch 00030 | Train Acc: 0.7000 | Train Loss: 1.2065 | Valid Acc: 0.2482 | Valid loss: 2.0369 | Time: 0.0401
Epoch 00031 | Train Acc: 0.7500 | Train Loss: 1.0553 | Valid Acc: 0.2646 | Valid loss: 2.0254 | Time: 0.0399
Epoch 00032 | Train Acc: 0.6500 | Train Loss: 1.1107 | Valid Acc: 0.2656 | Valid loss: 2.0236 | Time: 0.0398
Epoch 00033 | Train Acc: 0.8000 | Train Loss: 0.9955 | Valid Acc: 0.2625 | Valid loss: 2.0300 | Time: 0.0397
Epoch 00034 | Train Acc: 0.8000 | Train Loss: 0.8372 | Valid Acc: 0.2697 | Valid loss: 2.0268 | Time: 0.0396
Epoch 00035 | Train Acc: 0.6500 | Train Loss: 1.0977 | Valid Acc: 0.2725 | Valid loss: 2.0263 | Time: 0.0395
Epoch 00036 | Train Acc: 0.8000 | Train Loss: 0.9467 | Valid Acc: 0.2789 | Valid loss: 2.0244 | Time: 0.0394
Epoch 00037 | Train Acc: 0.8000 | Train Loss: 0.8602 | Valid Acc: 0.2922 | Valid loss: 2.0244 | Time: 0.0393
